SOURCE,DEST,TRIGGER
INIT_SYSTEM,RESET_ACTUATOR,
,RESET_A9,
RESET_ACTUATOR,RESET_A9,
RESET_A9,RESET_SUBJECT_STATE,__0
,PULSE_PUMP_ACTIVATOR,
RESET_SUBJECT_STATE ,OUTSIDE_LANE,
,EXIT_LANE,
,ENTER_LANE,
PULSE_PUMP_ACTIVATOR,RESET_SUBJECT_STATE,__0
OUTSIDE_LANE,PULL_ACTUATOR,
,RESET_MOTORS,
EXIT_LANE,TURN_OFF_PIEZO,
,OUTSIDE_LANE,__0
ENTER_LANE,PUSH_ACTUATOR,
,INSIDE_LANE,__0
PULL_ACTUATOR,RESET_MOTORS,
,TURN_ON_ACTUATOR_AT_MIN_PULL,
RESET_MOTORS,RESET_ACTUATOR,
,RESET_A9,
,TURN_ON_ACTUATOR_AFTER_DELAY,
TURN_ON_ACTUATOR_AT_MIN_PULL,RESET_MOTORS,
TURN_OFF_PIEZO,OUTSIDE_LANE,__0
INSIDE_LANE,PULL_ACTUATOR,
,RESET_MOTORS,
PUSH_ACTUATOR,ACTUATOR_AT_MAX_PUSH,
,INSIDE_LANE,__0
TURN_ON_ACTUATOR_AFTER_DELAY,RESET_ACTUATOR,
,RESET_A9,
ACTUATOR_AT_MAX_PUSH,ACTUATOR_AT_REST,
,INSIDE_LANE,__0
ACTUATOR_AT_REST,RESET_IS_CORRECT_SENSOR,
,INSIDE_LANE,__0
RESET_IS_CORRECT_SENSOR,SENSOR_TOUCHED,
,REWARD,
,NO_REWARD,
SENSOR_TOUCHED,REWARD,
,NO_REWARD,
REWARD,INSIDE_LANE,__0
NO_REWARD,INSIDE_LANE,__0
